"","pr","tas","tasmax","tasmin","orog","sftlf","huss"
"CMIP5_HadGEM2-ES_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-ES_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-ES_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-ES_r4i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_inmcm4_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"CMIP5_IPSL-CM5A-LR_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-LR_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-LR_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-LR_r4i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-LR_r5i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-LR_r6i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-MR_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-MR_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5A-MR_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_IPSL-CM5B-LR_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC-ESM-CHEM_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC-ESM_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC-ESM_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC-ESM_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC4h_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC4h_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC4h_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC5_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC5_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC5_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC5_r4i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MIROC5_r5i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_MPI-ESM-LR_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
