#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1986-12",4.494,6.262,2.823,0.855,NA,0.266,2.649,1.516,2.196
"1987-01",3.897,5.652,3.987,0.939,NA,0.479,2.9,2.022,2.236
"1987-02",3.002,6.065,1.865,2.682,NA,0.508,3.003,2.08,2.455
"1987-03",5.831,8.362,1.59,1.874,NA,0.839,3.722,2.339,2.944
"1987-04",6.646,4.343,1.572,1.975,NA,1.228,1.733,2.28,2.614
"1987-05",8.486,3.23,5.513,1.847,NA,2.715,2.471,2.829,3.399
"1987-06",8.186,3.127,2.611,0.853,NA,2.705,2.063,2.488,3.383
"1987-07",8.53,3.386,2.304,0.866,NA,2.041,1.259,2.377,2.885
"1987-08",7.237,3.666,0.507,0.439,NA,1.15,1.371,2.088,2.686
"1987-09",7.028,4.263,0.374,0.184,NA,1.873,1.503,2.11,2.685
"1987-10",8.615,4.905,0.217,0.451,NA,0.585,2.149,1.518,2.581
"1987-11",9.297,4.395,2.31,0.483,NA,0.862,2.553,1.421,2.509
"1987-12",4.304,5.408,3.28,0.727,NA,0.368,3.14,1.097,2.455
"1988-01",3.138,5.629,2.362,0.534,NA,0.761,2.618,1.99,2.243
"1988-02",3.008,6.972,1.954,1.403,NA,0.427,2.306,1.955,2.178
"1988-03",3.106,7.836,1.991,2,NA,1.145,3.439,2.827,2.421
"1988-04",3.786,7.156,0.626,5.56,NA,1.44,2.277,2.704,2.888
"1988-05",5.842,3.16,4.182,4.481,NA,1.738,1.83,2.467,2.901
"1988-06",7.337,2.286,4.49,1.597,NA,1.534,0.939,2.461,2.827
"1988-07",8.229,3.101,1.982,1.04,NA,1.786,1.691,2.16,2.716
"1988-08",7.583,3.78,1.601,0.595,NA,1.27,1.482,2.219,2.572
"1988-09",7.59,3.773,0.521,0.182,NA,1.612,1.636,1.925,2.388
"1988-10",7.777,4.835,0.63,0.196,NA,1.167,1.615,1.995,2.771
"1988-11",10.879,5.816,1.046,0.211,NA,0.421,2.562,1.589,2.844
