#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM5-0-2_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"1992-11",NA,NA,2.124,0.519,5.952,NA,0.215,4.005
"1992-12",NA,NA,2.571,0.596,1.567,NA,0.09,2.351
"1993-01",NA,NA,1.218,0.385,0.573,NA,0.08,1.237
"1993-02",NA,NA,3.03,0.3,0.338,NA,0.042,1.225
"1993-03",NA,NA,2.516,0.069,0.173,NA,0.02,1.326
"1993-04",NA,NA,3.147,0.292,0.699,NA,0.343,2.279
"1993-05",NA,NA,3.705,0.144,2.095,NA,0.141,2.467
"1993-06",NA,NA,3.798,4.531,2.539,NA,0.949,4.027
"1993-07",NA,NA,4.558,2.788,3.785,NA,1.061,4.695
"1993-08",NA,NA,4.36,2.252,3.274,NA,2.202,5.117
"1993-09",NA,NA,3.386,8.692,5.954,NA,4.915,5.709
"1993-10",NA,NA,2.589,4.991,4.461,NA,2.358,4.377
"1993-11",NA,NA,2.613,2.119,1.375,NA,0.806,2.866
"1993-12",NA,NA,1.531,0.26,1.114,NA,0.099,1.637
"1994-01",NA,NA,1.294,0.01,0.518,NA,0.012,1.285
"1994-02",NA,NA,1.267,0.074,0.47,NA,0.086,1.075
"1994-03",NA,NA,2.766,0.211,0.488,NA,0.124,1.819
"1994-04",NA,NA,2.821,0.259,1.11,NA,1.918,2.155
"1994-05",NA,NA,5.121,0.086,4.373,NA,2.668,4.006
"1994-06",NA,NA,5.198,2.1,6.221,NA,1.072,4.866
"1994-07",NA,NA,4.624,6.635,7.41,NA,4.355,5.603
"1994-08",NA,NA,5.724,5.95,8.495,NA,7.329,6.878
"1994-09",NA,NA,5.395,8.796,7.03,NA,2.496,5.55
"1994-10",NA,NA,3.402,1.281,6.807,NA,1.696,5.06
"1994-11",NA,NA,3.215,0.567,1.835,NA,0.424,2.767
"1994-12",NA,NA,2.257,0.837,3.802,NA,0.326,2.86
"1995-01",NA,NA,1.804,0.437,0.709,NA,0.04,1.648
