dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_MOHC_HadGEM3-GC31-LL_ssp245_r1i1p1f3_Amon_gn,v20190908,v20190908,NA,NA,NA
CMIP6_MOHC_HadGEM3-GC31-LL_ssp245_r1i1p1f3_Omon_gn,NA,NA,v20190908,NA,NA
CMIP6_MOHC_HadGEM3-GC31-LL_ssp245_r1i1p1f3_SImon_gn,NA,NA,NA,NA,v20200330
CMIP6_MOHC_HadGEM3-GC31-LL_ssp585_r1i1p1f3_Amon_gn,v20200114,v20200114,NA,NA,NA
CMIP6_MOHC_HadGEM3-GC31-LL_ssp585_r1i1p1f3_Omon_gn,NA,NA,v20200114,NA,NA
CMIP6_MOHC_HadGEM3-GC31-LL_ssp585_r1i1p1f3_SImon_gn,NA,NA,NA,NA,v20200310
CMIP6_MOHC_UKESM1-0-LL_historical_r1i1p1f2_Amon_gn,v20190406,v20190406,NA,NA,NA
CMIP6_MOHC_UKESM1-0-LL_historical_r1i1p1f2_Omon_gn,NA,NA,v20190627,v20190627,NA
CMIP6_MOHC_UKESM1-0-LL_historical_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200309
CMIP6_MOHC_UKESM1-0-LL_ssp126_r1i1p1f2_Amon_gn,v20190503,v20190503,NA,NA,NA
CMIP6_MOHC_UKESM1-0-LL_ssp126_r1i1p1f2_Omon_gn,NA,NA,v20190708,v20190708,NA
CMIP6_MOHC_UKESM1-0-LL_ssp126_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200729
CMIP6_MOHC_UKESM1-0-LL_ssp245_r1i1p1f2_Amon_gn,v20190507,v20190507,NA,NA,NA
CMIP6_MOHC_UKESM1-0-LL_ssp245_r1i1p1f2_Omon_gn,NA,NA,v20190507,v20190715,NA
CMIP6_MOHC_UKESM1-0-LL_ssp245_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200415
CMIP6_MOHC_UKESM1-0-LL_ssp370_r1i1p1f2_Amon_gn,v20190510,v20190510,NA,NA,NA
CMIP6_MOHC_UKESM1-0-LL_ssp370_r1i1p1f2_Omon_gn,NA,NA,v20190510,v20190726,NA
CMIP6_MOHC_UKESM1-0-LL_ssp370_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200319
CMIP6_MOHC_UKESM1-0-LL_ssp585_r1i1p1f2_Amon_gn,v20190507,v20190507,NA,NA,NA
CMIP6_MOHC_UKESM1-0-LL_ssp585_r1i1p1f2_Omon_gn,NA,NA,v20190726,v20190726,NA
CMIP6_MOHC_UKESM1-0-LL_ssp585_r1i1p1f2_SImon_gn,NA,NA,NA,NA,v20200415
CMIP6_MPI-M_MPI-ESM1-2-HR_historical_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_MPI-M_MPI-ESM1-2-HR_historical_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_MPI-M_MPI-ESM1-2-HR_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_MPI-M_MPI-ESM1-2-LR_historical_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_MPI-M_MPI-ESM1-2-LR_historical_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_MPI-M_MPI-ESM1-2-LR_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_MPI-M_MPI-ESM1-2-LR_ssp126_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
CMIP6_MPI-M_MPI-ESM1-2-LR_ssp126_r1i1p1f1_Omon_gn,NA,NA,v20190710,v20190710,NA
CMIP6_MPI-M_MPI-ESM1-2-LR_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190710
CMIP6_MPI-M_MPI-ESM1-2-LR_ssp245_r1i1p1f1_Amon_gn,v20190710,v20190710,NA,NA,NA
