dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_NIMS-KMA_KACE-1-0-G_ssp585_r2i1p1f1_Amon_gr,v20191007,v20191007,NA,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp585_r2i1p1f1_Omon_gr,NA,NA,v20200130,NA,NA
CMIP6_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-CM4_ssp245_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-CM4_ssp245_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-CM4_ssp245_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_Omon_gr,NA,NA,v20180701,v20180701,NA
CMIP6_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20180701
CMIP6_NOAA-GFDL_GFDL-ESM4_historical_r1i1p1f1_Amon_gr1,v20190726,v20190726,NA,NA,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_historical_r1i1p1f1_Omon_gr,NA,NA,v20190726,v20190726,NA
CMIP6_NOAA-GFDL_GFDL-ESM4_historical_r1i1p1f1_SImon_gr,NA,NA,NA,NA,v20190726
CMIP6_NOAA-GFDL_GFDL-ESM4_ssp126_r1i1p1f1_Amon_gr1,v20180701,v20180701,NA,NA,NA
